Rank;Genre;Nom de la cha�ne;Nombre d�abonn�s;Nombre total de vues;Nombre de vid�os publi�es;Ann�e
183;People & Blogs;Family Fun Pack;10100000;15017638068;2398;2011
292;Gaming;ItsFunneh;9840000;11791649003;2519;2011
239;Music;ImagineDragonsVEVO;9670000;13250789764;194;2012
249;Sports;SportsNation;9520000;12981801302;3337;2009
241;People & Blogs;ViralHog;9250000;13196225954;37537;2014
299;Entertainment;Mnet TV;9040000;11442069884;21617;2013
285;Entertainment;Kaji Family;9020000;11946387556;977;2016
251;Music;LadyGagaVEVO;8980000;12979564197;204;2009
148;Entertainment;MBCentertainment;8930000;16690512755;95914;2009
231;Music;RomeoSantosVEVO;8820000;13436014930;209;2011
218;Entertainment;Asianet;8800000;13823755228;109018;2008
291;Music;michaeljacksonVEVO;8080000;11806216949;138;2009
170;Entertainment;Fischer's-フィッシャーズ-;7890000;15511361529;3038;2012
266;Entertainment;Beam Copphone;7610000;12528044071;2737;2012
298;Entertainment;JTBC Entertainment;7580000;11512332695;76838;2012
224;Entertainment;Tarang TV;7020000;13631541685;44772;2012
283;Comedy;東海オンエア;6830000;11958012432;2657;2013
230;Music;KarolGVEVO;3720000;13512082882;66;2016
